saturatedFat,28 grams,80
sodium,780 milligrams,80
sugar,87 grams,80
calories,360 calories,81
carbohydrate,40 grams,81
cholesterol,50 milligrams,81
fat,10 grams,81
fiber,2 grams,81
protein,25 grams,81
saturatedFat,2 grams,81
sodium,350 milligrams,81
sugar,2 grams,81
calories,150 calories,82
carbohydrate,20 grams,82
cholesterol,45 milligrams,82
fat,6 grams,82
protein,6 grams,82
saturatedFat,0.5 grams,82
sodium,620 milligrams,82
sugar,8 grams,82
calories,50 calories,83
carbohydrate,10 grams,83
fiber,4 grams,83
protein,3 grams,83
sodium,240 milligrams,83
sugar,1 grams,83
calories,320 calories,84
carbohydrate,21 grams,84
cholesterol,70 milligrams,84
fat,23 grams,84
fiber,5 grams,84
protein,9 grams,84
saturatedFat,13 grams,84
sodium,320 milligrams,84
sugar,1 grams,84
calories,370 calories,85
carbohydrate,31 grams,85
cholesterol,60 milligrams,85
fat,19 grams,85
fiber,1 grams,85
protein,18 grams,85
saturatedFat,11 grams,85
sodium,500 milligrams,85
sugar,6 grams,85
calories,480 calories,86
carbohydrate,24 grams,86
cholesterol,225 milligrams,86
fat,40 grams,86
protein,8 grams,86
saturatedFat,23 grams,86
sodium,320 milligrams,86
sugar,23 grams,86
calories,50 calories,87
carbohydrate,4 grams,87
cholesterol,5 milligrams,87
fat,3.5 grams,87
protein,1 grams,87
saturatedFat,1 grams,87
sodium,65 milligrams,87
sugar,2 grams,87
calories,840 calories,88
carbohydrate,18 grams,88
cholesterol,375 milligrams,88
fat,71 grams,88
fiber,2 grams,88
protein,34 grams,88
saturatedFat,37 grams,88
sodium,1190 milligrams,88
sugar,8 grams,88
calories,340 calories,89
carbohydrate,63 grams,89
cholesterol,5 milligrams,89
fat,5 grams,89
fiber,5 grams,89
protein,10 grams,89
saturatedFat,1 grams,89
sodium,105 milligrams,89
sugar,3 grams,89
,,90
calories,160 calories,91
carbohydrate,21 grams,91
cholesterol,25 milligrams,91
fat,9 grams,91
protein,1 grams,91
saturatedFat,6 grams,91
sodium,150 milligrams,91
